X11 - Break,X12 - anger,X13 - threaten,X21 - gazeaway,X22 - walkaway ,time
0.090570557351831,0.983017182270332,0.790439502505001,0.980077989429052,0.072976148841541,91.5
0.092756921028986,0.983793807005992,0.797085527068554,0.981073751665317,0.094976856674038,92
0.094884964443278,0.984532102275891,0.803428192619927,0.982019727879822,0.119265736748459,92.5
0.096957777779075,0.9852339790902,0.809482365498132,0.982918407039106,0.145228728171975,93
0.098980243700573,0.985901271457603,0.815263239612122,0.98377215371654,0.172292785220481,93.5
0.100959571985858,0.986535744970313,0.820786595439726,0.984583214302866,0.199965495862258,94
0.102905926261801,0.987139105457587,0.82606907556057,0.98535372290769,0.227846153756287,94.5
0.104833135712591,0.987713007293766,0.831128452535916,0.98608570696713,0.255620749454399,95
0.106759492685796,0.988259060860231,0.835983859926253,0.986781092572161,0.283050056763164,95.5
0.108708651037767,0.988778838593053,0.840655953119039,0.98744170953141,0.309956131595073,96
0.110710657767461,0.989273878998462,0.845166963218287,0.988069296181569,0.336209764244729,96.5
0.112803169573096,0.989745687995756,0.849540604909024,0.988665503957905,0.361719817526434,97
0.115032923775979,0.990195736974873,0.853801799199423,0.989231901736764,0.386424583619209,97.5
0.117457546058067,0.990625457068844,0.857976176437209,0.989769979961385,0.410284955867877,98
0.120147779772729,0.991036229381524,0.862089336925346,0.990281154561779,0.43327910887338,98.5
0.123190202517321,0.991429371313667,0.866165868946182,0.990766770678921,0.455398381899524,99
0.126690436143229,0.991806119705342,0.870228159189755,0.991228106202972,0.476644101475728,99.5
0.130776724853013,0.99216761221888,0.87429507775936,0.991666375134807,0.497025128816021,100
0.13560350605559,0.992514869110636,0.878380673221079,0.992082730779627,0.51655596386931,100.5
0.141354175198933,0.992848778091793,0.882493059860273,0.992478268781041,0.53525527643709,101
0.148241614933881,0.99317008512398,0.886633700689322,0.992854030003559,0.553144765452666,101.5
0.156504283302283,0.99347939353362,0.890797266363991,0.993211003271058,0.570248271185127,102
0.16639502826978,0.993777172700007,0.894972171602436,0.993550127968407,0.58659108313373,102.5
0.178159977279601,0.994063775946091,0.899141766066668,0.993872296513074,0.602199399971544,103
0.192006792478009,0.994339465538576,0.903286018276224,0.994178356703218,0.617099908136663,103.5
0.208065882435672,0.994604441394727,0.9073834250302,0.994469113948412,0.631319453390295,104
0.226353802381479,0.994858869603657,0.911412843817006,0.994745333388872,0.644884785502504,104.5
0.246751655700634,0.995102907317033,0.915354992725197,0.995007741908761,0.657822360667926,105
0.269008773154347,0.995336721726561,0.919193468648925,0.995257030048847,0.670158189650686,105.5
0.292772759514101,0.995560502284849,0.922915257010089,0.995493853823553,0.681917722271098,106
0.317636312956952,0.995774466597749,0.926510804235984,0.995718836447174,0.693125760867512,106.5
0.343185973834569,0.995978861241229,0.929973776739052,0.995932569973796,0.703806396934782,107
0.369040544126922,0.996173959076194,0.933300638235502,0.996135616855235,0.713982966359488,107.5
0.394873898674471,0.996360054557463,0.936490155748141,0.996328511421085,0.723678019619017,108
0.420423284711624,0.99653745823115,0.939542911095362,0.996511761284777,0.732913304046477,108.5
0.445487425026581,0.996706491244814,0.942460862073909,0.996685848679343,0.741709755833188,109
0.469919078595924,0.996867480358459,0.945246972390664,0.996851231726395,0.750087499882601,109.5
0.493615588741657,0.997020753687555,0.947904913060448,0.997008345641661,0.758065855973921,110
0.516509548818879,0.99716663723764,0.950438829070693,0.997157603880257,0.765663349964208,110.5
0.538560607614108,0.99730545218977,0.95285316136131,0.997299399224686,0.772897728972765,111
0.559748739317427,0.997437512846893,0.955152513503374,0.997434104818457,0.779785979665344,111.5
0.580068936681554,0.997563125134723,0.95734155336658,0.997562075148009,0.786344348898328,112
0.599527131564125,0.997682585552606,0.959424941589373,0.997683646975556,0.792588366102301,112.5
0.618137108313215,0.997796180480928,0.961407280281552,0.997799140225283,0.798532866885389,113
0.635918190741685,0.99790418576587,0.963293076849324,0.997908858825239,0.804192017423253,113.5
0.652893518482195,0.998006866516782,0.965086719048854,0.998013091507136,0.809579339277157,114
0.669088766518077,0.998104477064442,0.966792458340056,0.998112112566156,0.814707734345915,114.5
0.684531195603545,0.998197261039552,0.968414399356437,0.998206182582771,0.819589509713068,115
